plate_no	week_number	generation	read_number	date	cocktail_no	verified_crystal	image_url	solution_components	class_10way	skin	phase_precip	precip_crystal	clear	phase_crystal	precip	phase	precip_skin	crystal	garbage
X000009786	2	8	X0000097860894200803211252	2008-03-21 12:52:00	C0920		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860894200803211252.jpg	Ammonium phosphate monobasic;Tris;PEG 400	precip	0.0476	0.0374	0.139	0.0622	0.0664	0.1852	0.1514	0.1554	0.1474	0.008
X000009786	2	8	X0000097860898200803211252	2008-03-21 12:52:00	C0921		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860898200803211252.jpg	Ammonium phosphate monobasic;TAPS;PEG 400	phase	0.0414	0.0184	0.074	0.224	0.0478	0.1152	0.2274	0.0628	0.1744	0.0146
X000009786	2	8	X0000097860902200803211252	2008-03-21 12:52:00	C0922		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860902200803211252.jpg	Ammonium phosphate dibasic;Sodium acetate trihydrate;PEG 400	clear	0.04	0.0158	0.0746	0.234	0.0472	0.1128	0.22	0.058	0.182	0.0156
X000009786	2	8	X0000097860906200803211252	2008-03-21 12:52:00	C0923		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860906200803211252.jpg	Ammonium phosphate dibasic;Bis-Tris Propane;PEG 400	clear	0.0496	0.0156	0.0758	0.2244	0.0482	0.106	0.203	0.056	0.2044	0.017
X000009786	2	8	X0000097860910200803211252	2008-03-21 12:52:00	C0924		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860910200803211252.jpg	Ammonium phosphate dibasic;Sodium citrate tribasic dihydrate;PEG 400	phase	0.0504	0.0182	0.0856	0.2058	0.0504	0.1172	0.2132	0.0634	0.179	0.0168
X000009786	2	8	X0000097861058200803211250	2008-03-21 12:50:00	C0925		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861058200803211250.jpg	Ammonium phosphate dibasic;Tris;PEG 400	phase	0.0524	0.0148	0.081	0.2018	0.054	0.1002	0.222	0.0634	0.1978	0.0126
X000009786	2	8	X0000097861062200803211250	2008-03-21 12:50:00	C0926		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861062200803211250.jpg	Ammonium sulfate;TAPS;PEG 400	clear	0.0508	0.0128	0.069	0.2234	0.054	0.0964	0.2178	0.0558	0.2014	0.0186
X000009786	2	8	X0000097861066200803211250	2008-03-21 12:50:00	C0927		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861066200803211250.jpg	Calcium acetate;Sodium acetate trihydrate;PEG 400	precip	0.0386	0.0512	0.1504	0.086	0.0372	0.2238	0.1444	0.1426	0.1152	0.0106
X000009786	2	8	X0000097861070200803211250	2008-03-21 12:50:00	C0928		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861070200803211250.jpg	Magnesium chloride hexahydrate;PEG 400;HEPES-Na	clear	0.0528	0.0112	0.06	0.2406	0.0446	0.0922	0.2018	0.0536	0.226	0.0172
X000009786	2	8	X0000097861074200803211249	2008-03-21 12:49:00	C0929		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861074200803211249.jpg	Calcium chloride dihydrate;HEPES;PEG 400	crystal	0.0876	0.021	0.144	0.0572	0.0628	0.1348	0.1162	0.1772	0.1872	0.012
X000009786	2	8	X0000097861078200803211249	2008-03-21 12:49:00	C0930		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861078200803211249.jpg	Lithium bromide;Tris;PEG 400	phase	0.0918	0.0126	0.0936	0.1334	0.0608	0.1046	0.2068	0.0936	0.1888	0.014
X000009786	2	8	X0000097861082200803211249	2008-03-21 12:49:00	C0931		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861082200803211249.jpg	Lithium bromide;CAPS;PEG 400	phase	0.0402	0.017	0.086	0.2148	0.0446	0.1152	0.2164	0.061	0.1898	0.015
X000009786	2	8	X0000097861086200803211249	2008-03-21 12:49:00	C0932		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861086200803211249.jpg	Lithium chloride;Bis-Tris Propane;PEG 400	crystal	0.1192	0.0178	0.1252	0.1164	0.055	0.1192	0.1236	0.1126	0.1854	0.0256
X000009786	2	8	X0000097861090200803211249	2008-03-21 12:49:00	C0933		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861090200803211249.jpg	Magnesium acetate tetrahydrate;Bis-Tris Propane;PEG 400	precip_skin	0.0844	0.0198	0.1318	0.072	0.0534	0.1486	0.1376	0.181	0.1598	0.0116
X000009786	2	8	X0000097861094200803211249	2008-03-21 12:49:00	C0934		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861094200803211249.jpg	Magnesium chloride hexahydrate;Tris;PEG 400	precip_skin	0.0422	0.0336	0.1698	0.0414	0.04	0.2002	0.0958	0.223	0.1422	0.0118
X000009786	2	8	X0000097861098200803211249	2008-03-21 12:49:00	C0935		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861098200803211249.jpg	Magnesium chloride hexahydrate;Bis-Tris Propane;PEG 400	crystal	0.0998	0.0166	0.1346	0.0714	0.0506	0.1332	0.1258	0.1752	0.1806	0.0122
X000009786	2	8	X0000097861102200803211249	2008-03-21 12:49:00	C0936		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861102200803211249.jpg	Magnesium sulfate heptahydrate;Sodium acetate trihydrate;PEG 400	precip	0.0374	0.05	0.1448	0.0474	0.0724	0.1918	0.1506	0.1682	0.131	0.0064
X000009786	2	8	X0000097861250200803211247	2008-03-21 12:47:00	C0937		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861250200803211247.jpg	Magnesium sulfate heptahydrate;HEPES;PEG 400	clear	0.056	0.0118	0.0704	0.2342	0.049	0.087	0.211	0.0546	0.2118	0.0142
X000009786	2	8	X0000097861254200803211247	2008-03-21 12:47:00	C0938		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861254200803211247.jpg	Manganese chloride tetrahydrate;Bis-Tris Propane;PEG 400	precip	0.0232	0.0392	0.1318	0.127	0.0362	0.2122	0.145	0.1086	0.1624	0.0144
X000009786	2	8	X0000097861258200803211247	2008-03-21 12:47:00	C0939		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861258200803211247.jpg	Potassium acetate;TAPS;PEG 400	phase	0.074	0.0186	0.1174	0.0884	0.0588	0.138	0.2026	0.1384	0.1578	0.006
X000009786	2	8	X0000097861262200803211247	2008-03-21 12:47:00	C0940		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861262200803211247.jpg	Sodium citrate tribasic dihydrate;Glycerol anhydrous;HEPES-Na;Iso-propanol	phase	0.0512	0.0156	0.0668	0.2266	0.049	0.099	0.2304	0.0618	0.1852	0.0144
X000009786	2	8	X0000097861266200803211247	2008-03-21 12:47:00	C0941		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861266200803211247.jpg	Potassium acetate;Sodium acetate trihydrate;PEG 400	crystal	0.0294	0.021	0.085	0.1758	0.0492	0.1658	0.1614	0.0756	0.2226	0.0142
X000009786	2	8	X0000097861270200803211247	2008-03-21 12:47:00	C0942		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861270200803211247.jpg	Potassium acetate;CAPS;PEG 400	clear	0.042	0.0176	0.0736	0.2304	0.042	0.1178	0.2176	0.0598	0.1844	0.0148
X000009786	2	8	X0000097861274200803211247	2008-03-21 12:47:00	C0943		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861274200803211247.jpg	Potassium acetate;MES monohydrate;PEG 400	crystal	0.0308	0.033	0.1128	0.1372	0.0476	0.1824	0.1608	0.0946	0.1836	0.0172
X000009786	2	8	X0000097861278200803211247	2008-03-21 12:47:00	C0944		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861278200803211247.jpg	Potassium acetate;Bis-Tris Propane;PEG 400	crystal	0.0492	0.0206	0.1054	0.1348	0.0564	0.147	0.1496	0.097	0.2252	0.0148
X000009786	2	8	X0000097861282200803211247	2008-03-21 12:47:00	C0945		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861282200803211247.jpg	Potassium bromide;TAPS;PEG 400	phase	0.0816	0.0204	0.1184	0.0788	0.0676	0.1364	0.188	0.1514	0.1494	0.008
X000009786	2	8	X0000097861286200803211247	2008-03-21 12:47:00	C0946		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861286200803211247.jpg	Potassium carbonate;Bis-Tris Propane;PEG 400	crystal	0.0448	0.0102	0.0672	0.224	0.0576	0.0976	0.1862	0.05	0.247	0.0154
X000009786	2	8	X0000097861290200803211247	2008-03-21 12:47:00	C0947		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861290200803211247.jpg	Potassium chloride;Tris;PEG 400	precip	0.0588	0.0418	0.1546	0.065	0.0578	0.1786	0.1166	0.1602	0.1536	0.013
X000009786	2	8	X0000097861294200803211247	2008-03-21 12:47:00	C0948		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861294200803211247.jpg	Potassium chloride;Bis-Tris Propane;PEG 400	crystal	0.1284	0.0162	0.1066	0.1048	0.0584	0.1202	0.1586	0.1304	0.1602	0.0162
X000009786	2	8	X0000097861442200803211245	2008-03-21 12:45:00	C0949		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861442200803211245.jpg	Potassium nitrate;CAPS;PEG 400	clear	0.0488	0.0112	0.0626	0.2506	0.0436	0.0884	0.2002	0.0492	0.228	0.0174
X000009786	2	8	X0000097861446200803211245	2008-03-21 12:45:00	C0950		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861446200803211245.jpg	Potassium nitrate;Bis-Tris Propane;PEG 400	crystal	0.0958	0.0236	0.1336	0.0768	0.0672	0.1238	0.1366	0.1526	0.1764	0.0136
X000009786	2	8	X0000097861450200803211245	2008-03-21 12:45:00	C0951		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861450200803211245.jpg	Potassium phosphate monobasic;Sodium acetate trihydrate;PEG 400	precip	0.0612	0.0422	0.131	0.0958	0.0572	0.1874	0.1592	0.1166	0.1334	0.016
X000009786	2	8	X0000097861454200803211245	2008-03-21 12:45:00	C0952		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861454200803211245.jpg	Potassium thiocyanate;HEPES;PEG 400	crystal	0.114	0.015	0.1146	0.0834	0.0576	0.115	0.1626	0.142	0.182	0.0138
X000009786	2	8	X0000097861458200803211245	2008-03-21 12:45:00	C0953		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861458200803211245.jpg	Potassium thiocyanate;CAPS;PEG 400	clear	0.0394	0.018	0.0812	0.2188	0.0442	0.13	0.2176	0.062	0.1728	0.016
X000009786	2	8	X0000097861462200803211244	2008-03-21 12:44:00	C0954		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861462200803211244.jpg	Rubidium chloride;HEPES;PEG 400	crystal	0.0836	0.0258	0.1356	0.0858	0.0522	0.153	0.116	0.1632	0.1734	0.0114
X000009786	2	8	X0000097861466200803211244	2008-03-21 12:44:00	C0955		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861466200803211244.jpg	Sodium bromide;Sodium acetate trihydrate;PEG 400	crystal	0.0336	0.0192	0.095	0.1564	0.045	0.1774	0.1536	0.0952	0.2108	0.0138
X000009786	2	8	X0000097861470200803211244	2008-03-21 12:44:00	C0956		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861470200803211244.jpg	Sodium bromide;HEPES;PEG 400	precip	0.0632	0.0416	0.1434	0.0662	0.0648	0.165	0.1314	0.1486	0.1644	0.0114
X000009786	2	8	X0000097861474200803211244	2008-03-21 12:44:00	C0957		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861474200803211244.jpg	Sodium chloride;Sodium acetate trihydrate;PEG 400	precip	0.029	0.0266	0.1264	0.125	0.0374	0.21	0.128	0.1146	0.1802	0.0228
X000009786	2	8	X0000097861478200803211244	2008-03-21 12:44:00	C0958		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861478200803211244.jpg	Sodium chloride;TAPS;PEG 400	precip	0.0502	0.0306	0.1478	0.0778	0.051	0.1826	0.1452	0.1448	0.1584	0.0116
X000009786	2	8	X0000097861482200803211244	2008-03-21 12:44:00	C0959		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861482200803211244.jpg	Sodium chloride;Sodium citrate tribasic dihydrate;PEG 400	precip	0.0304	0.0322	0.1288	0.1336	0.041	0.2008	0.1334	0.1128	0.169	0.018
X000009786	2	8	X0000097861486200803211244	2008-03-21 12:44:00	C0960		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861486200803211244.jpg	Sodium molybdate dihydrate;Tris;PEG 400	clear	0.0342	0.0204	0.0958	0.2052	0.0388	0.15	0.1906	0.073	0.1792	0.0128
X000009786	2	8	X0000097860004200803211303	2008-03-21 13:03:00	C0961		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860004200803211303.jpg	Sodium molybdate dihydrate;TAPS;PEG 400	clear	0.0356	0.018	0.0738	0.2356	0.0396	0.1286	0.2102	0.0562	0.1884	0.014
X000009786	2	8	X0000097860008200803211303	2008-03-21 13:03:00	C0962		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860008200803211303.jpg	Sodium nitrate;CAPS;PEG 400	clear	0.0408	0.0182	0.0754	0.2222	0.048	0.1052	0.219	0.0568	0.1982	0.0162
X000009786	2	8	X0000097860012200803211303	2008-03-21 13:03:00	C0963		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860012200803211303.jpg	Sodium nitrate;Sodium acetate trihydrate;PEG 400	crystal	0.0342	0.032	0.117	0.1224	0.0448	0.189	0.143	0.1064	0.1932	0.018
X000009786	2	8	X0000097860016200803211303	2008-03-21 13:03:00	C0964		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860016200803211303.jpg	Sodium nitrate;Bis-Tris Propane;PEG 400	crystal	0.1318	0.0154	0.1216	0.0884	0.058	0.0972	0.1384	0.143	0.1898	0.0164
X000009786	2	8	X0000097860020200803211303	2008-03-21 13:03:00	C0965		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860020200803211303.jpg	Sodium phosphate monobasic;CAPS;PEG 400	phase	0.034	0.034	0.105	0.16	0.0454	0.1678	0.1964	0.0914	0.153	0.013
X000009786	2	8	X0000097860024200803211303	2008-03-21 13:03:00	C0966		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860024200803211303.jpg	Calcium chloride dihydrate;Sodium acetate trihydrate;Glycerol anhydrous;Iso-propanol	precip_skin	0.0218	0.0344	0.193	0.0326	0.034	0.2366	0.0968	0.2402	0.1018	0.0088
X000009786	2	8	X0000097860028200803211303	2008-03-21 13:03:00	C0967		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860028200803211303.jpg	Sodium thiosulfate pentahydrate;Tris;PEG 400	precip	0.0284	0.0358	0.1136	0.149	0.0344	0.2052	0.155	0.0982	0.1658	0.0146
X000009786	2	8	X0000097860032200803211303	2008-03-21 13:03:00	C0968		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860032200803211303.jpg	Sodium acetate trihydrate;PEG 8000;Glycerol anhydrous;Sodium cacodylate trihydrate	crystal	0.0322	0.026	0.1064	0.1714	0.0508	0.1436	0.1928	0.0736	0.193	0.0102
X000009786	2	8	X0000097860036200803211303	2008-03-21 13:03:00	C0969		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860036200803211303.jpg	Zinc acetate dihydrate;Tris;PEG 400	crystal	0.0302	0.0292	0.1186	0.1494	0.0512	0.1646	0.1752	0.0808	0.1888	0.012
X000009786	2	8	X0000097860040200803211303	2008-03-21 13:03:00	C0970		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860040200803211303.jpg	Potassium phosphate dibasic anhydrous;MES monohydrate;PEG 400	crystal	0.0748	0.0186	0.1134	0.1522	0.0634	0.1082	0.175	0.08	0.1936	0.0208
X000009786	2	8	X0000097860044200803211303	2008-03-21 13:03:00	C0971		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860044200803211303.jpg	Potassium phosphate dibasic anhydrous;Sodium acetate trihydrate;PEG 400	clear	0.0542	0.0122	0.08	0.223	0.054	0.0892	0.195	0.0572	0.2218	0.0134
X000009786	2	8	X0000097860048200803211303	2008-03-21 13:03:00	C0972		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860048200803211303.jpg	Cobalt (II) sulfate heptahydrate;Sodium acetate trihydrate;PEG 400	precip	0.0258	0.034	0.16	0.0864	0.0276	0.2372	0.1034	0.1576	0.156	0.012
X000009786	2	8	X0000097860196200803211301	2008-03-21 13:01:00	C0973		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860196200803211301.jpg	Cobalt (II) sulfate heptahydrate;Sodium acetate trihydrate;PEG 400	precip	0.042	0.0412	0.143	0.0984	0.0424	0.1994	0.1434	0.1242	0.1556	0.0104
X000009786	2	8	X0000097860200200803211301	2008-03-21 13:01:00	C0974		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860200200803211301.jpg	Cobalt (II) sulfate heptahydrate;Tris;PEG 400	precip	0.0166	0.0382	0.1566	0.0932	0.0278	0.271	0.0988	0.1492	0.1332	0.0154
X000009786	2	8	X0000097860204200803211301	2008-03-21 13:01:00	C0975	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860204200803211301.jpg	Cobalt (II) sulfate heptahydrate;Sodium citrate tribasic dihydrate;PEG 400	precip	0.0392	0.0316	0.1778	0.052	0.051	0.192	0.1136	0.1694	0.1684	0.005
X000009786	2	8	X0000097860208200803211301	2008-03-21 13:01:00	C0976		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860208200803211301.jpg	Lithium sulfate monohydrate;Tris;PEG 400	clear	0.035	0.0198	0.0922	0.2052	0.0452	0.1338	0.2036	0.068	0.1862	0.011
X000009786	2	8	X0000097860212200803211301	2008-03-21 13:01:00	C0977		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860212200803211301.jpg	Potassium phosphate tribasic;Sodium citrate tribasic dihydrate;PEG 400	crystal	0.0502	0.012	0.067	0.2222	0.0566	0.0966	0.199	0.0514	0.2286	0.0164
X000009786	2	8	X0000097860216200803211301	2008-03-21 13:01:00	C0978		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860216200803211301.jpg	Potassium phosphate tribasic;Tris;PEG 400	crystal	0.0904	0.015	0.101	0.1666	0.071	0.1016	0.1418	0.0686	0.2178	0.0262
X000009786	2	8	X0000097860220200803211301	2008-03-21 13:01:00	C0979		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860220200803211301.jpg	Potassium phosphate tribasic;CAPS;PEG 400	clear	0.0348	0.022	0.0894	0.208	0.0434	0.1382	0.2026	0.0688	0.1794	0.0134
X000009786	2	8	X0000097860224200803211300	2008-03-21 13:00:00	C0980		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860224200803211300.jpg	Manganese sulfate monohydrate;Sodium citrate tribasic dihydrate;PEG 400	crystal	0.0744	0.0224	0.1268	0.0942	0.0572	0.1468	0.1302	0.1434	0.1916	0.013
X000009786	2	8	X0000097860228200803211300	2008-03-21 13:00:00	C0981		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860228200803211300.jpg	Manganese sulfate monohydrate;MES monohydrate;PEG 400	phase	0.0474	0.0314	0.149	0.0474	0.0728	0.1478	0.1728	0.1654	0.159	0.007
X000009786	2	8	X0000097860232200803211300	2008-03-21 13:00:00	C0982		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860232200803211300.jpg	Manganese sulfate monohydrate;Sodium acetate trihydrate;PEG 400	crystal	0.055	0.03	0.16	0.048	0.0688	0.1422	0.1432	0.1622	0.183	0.0076
X000009786	2	8	X0000097860236200803211300	2008-03-21 13:00:00	C0983		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860236200803211300.jpg	Magnesium nitrate hexahydrate;MES monohydrate;PEG 400	crystal	0.026	0.0362	0.1212	0.1438	0.0504	0.1706	0.1746	0.0796	0.186	0.0116
X000009786	2	8	X0000097860240200803211300	2008-03-21 13:00:00	C0984		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860240200803211300.jpg	Magnesium nitrate hexahydrate;HEPES;PEG 400	crystal	0.0846	0.0266	0.148	0.0544	0.0636	0.1344	0.1254	0.1738	0.1774	0.0118
X000009786	2	8	X0000097860388200803211258	2008-03-21 12:58:00	C0985		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860388200803211258.jpg	Sodium Malonate;PEG 3350	crystal	0.045	0.0206	0.1078	0.1444	0.0512	0.1598	0.1258	0.08	0.2422	0.0232
X000009786	2	8	X0000097860392200803211258	2008-03-21 12:58:00	C0986		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860392200803211258.jpg	Sodium Malonate;PEG 3350	phase	0.059	0.027	0.1036	0.156	0.049	0.1332	0.1952	0.09	0.173	0.014
X000009786	2	8	X0000097860396200803211258	2008-03-21 12:58:00	C0987		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860396200803211258.jpg	Sodium Malonate;PEG 3350	crystal	0.034	0.028	0.118	0.151	0.0456	0.1662	0.1668	0.0858	0.1912	0.0134
X000009786	2	8	X0000097860400200803211258	2008-03-21 12:58:00	C0988		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860400200803211258.jpg	Sodium Malonate;PEG 3350	crystal	0.0602	0.011	0.0762	0.2012	0.058	0.0902	0.197	0.0636	0.23	0.0126
X000009786	2	8	X0000097860404200803211258	2008-03-21 12:58:00	C0989		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860404200803211258.jpg	Sodium Malonate;PEG 3350	phase	0.0318	0.0268	0.104	0.1816	0.0434	0.1436	0.2048	0.0722	0.1802	0.0116
X000009786	2	8	X0000097860408200803211258	2008-03-21 12:58:00	C0990		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860408200803211258.jpg	Sodium Malonate;PEG 3350	precip	0.0276	0.0492	0.1694	0.0664	0.0406	0.221	0.128	0.1562	0.1332	0.0084
X000009786	2	8	X0000097860412200803211258	2008-03-21 12:58:00	C0991		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860412200803211258.jpg	Sodium Malonate;PEG 3350	phase	0.0352	0.028	0.0924	0.1898	0.0442	0.1368	0.2242	0.076	0.1614	0.012
X000009786	2	8	X0000097860416200803211258	2008-03-21 12:58:00	C0992		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860416200803211258.jpg	Sodium Malonate;PEG 3350	crystal	0.0658	0.0098	0.0718	0.2176	0.0498	0.0902	0.194	0.0666	0.218	0.0164
X000009786	2	8	X0000097860420200803211258	2008-03-21 12:58:00	C0993		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860420200803211258.jpg	PEG 3350;Tacsimate	crystal	0.033	0.0264	0.1368	0.1162	0.055	0.168	0.1452	0.1148	0.1952	0.0094
X000009786	2	8	X0000097860424200803211258	2008-03-21 12:58:00	C0994		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860424200803211258.jpg	PEG 3350;Tacsimate	crystal	0.0536	0.0248	0.1324	0.1224	0.0618	0.1356	0.1482	0.0974	0.2106	0.0132
X000009786	2	8	X0000097860428200803211258	2008-03-21 12:58:00	C0995		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860428200803211258.jpg	PEG 3350;Tacsimate	crystal	0.1118	0.016	0.1268	0.1084	0.0608	0.1124	0.1288	0.1154	0.202	0.0176
X000009786	2	8	X0000097860432200803211258	2008-03-21 12:58:00	C0996		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860432200803211258.jpg	PEG 3350;Tacsimate	crystal	0.0398	0.0294	0.1404	0.129	0.0566	0.1508	0.1572	0.0928	0.1898	0.0142
X000009786	2	8	X0000097860580200803211256	2008-03-21 12:56:00	C0997		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860580200803211256.jpg	PEG 3350;Tacsimate	phase	0.0388	0.0194	0.0842	0.2054	0.0532	0.1198	0.218	0.0594	0.189	0.0128
X000009786	2	8	X0000097860584200803211256	2008-03-21 12:56:00	C0998		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860584200803211256.jpg	PEG 3350;Tacsimate	precip	0.0558	0.0356	0.1356	0.0806	0.0582	0.188	0.1444	0.1366	0.1528	0.0124
X000009786	2	8	X0000097860588200803211256	2008-03-21 12:56:00	C0999		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860588200803211256.jpg	PEG 3350;Tacsimate	phase	0.035	0.025	0.091	0.1874	0.0484	0.1276	0.2146	0.0706	0.1878	0.0126
X000009786	2	8	X0000097860592200803211256	2008-03-21 12:56:00	C1000		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860592200803211256.jpg	PEG 3350;Tacsimate	clear	0.0534	0.009	0.0596	0.2428	0.0516	0.085	0.1922	0.051	0.238	0.0174
X000009786	2	8	X0000097860596200803211256	2008-03-21 12:56:00	C1001		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860596200803211256.jpg	PEG 3350;Tacsimate	crystal	0.1076	0.012	0.0878	0.1732	0.058	0.0878	0.1382	0.0762	0.2218	0.0374
X000009786	2	8	X0000097860600200803211256	2008-03-21 12:56:00	C1002		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860600200803211256.jpg	PEG 3350;Tacsimate	clear	0.0518	0.0142	0.0696	0.2328	0.0506	0.1042	0.2118	0.0548	0.1918	0.0184
X000009786	2	8	X0000097860604200803211256	2008-03-21 12:56:00	C1003		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860604200803211256.jpg	Succinic Acid;PEG 3350	phase	0.0338	0.0242	0.1046	0.173	0.046	0.1378	0.2102	0.0762	0.183	0.0112
